0,0.13601,0.26596,0.39041,0.50982,0.62461,0.73515,0.84175,0.9447,1.0442
0.13601,0,0.13014,0.25491,0.37477,0.4901,0.60125,0.70852,0.81219,0.91249
0.26596,0.13014,0,0.12492,0.24505,0.36075,0.47235,0.58014,0.68437,0.78528
0.39041,0.25491,0.12492,0,0.12025,0.23617,0.34808,0.45625,0.56092,0.66231
0.50982,0.37477,0.24505,0.12025,0,0.11603,0.22812,0.33655,0.44154,0.54331
0.62461,0.4901,0.36075,0.23617,0.11603,0,0.11218,0.22077,0.32598,0.42803
0.73515,0.60125,0.47235,0.34808,0.22812,0.11218,0,0.10866,0.21401,0.31625
0.84175,0.70852,0.58014,0.45625,0.33655,0.22077,0.10866,0,0.10542,0.20777
0.9447,0.81219,0.68437,0.56092,0.44154,0.32598,0.21401,0.10542,0,0.10241
1.0442,0.91249,0.78528,0.66231,0.54331,0.42803,0.31625,0.20777,0.10241,0
